Serial_No,timestamp,sensor_00,sensor_01,sensor_02,sensor_03,Level_sensor,sensor_05,sensor_06,sensor_07,sensor_08
0,4/1/2018 0:00,2.465394,47.09201,53.2118,46.31076,634.375,76.45975,13.41146,16.13136,15.56713
1,4/1/2018 0:01,2.465394,47.09201,53.2118,46.31076,634.375,76.45975,13.41146,16.13136,15.56713
2,4/1/2018 0:02,2.444734,47.35243,53.2118,46.39757,638.8889,73.54598,13.32465,16.03733,15.61777
3,4/1/2018 0:03,2.460474,47.09201,53.1684,46.39756775,628.125,76.98898,13.31742,16.24711,15.69734
4,4/1/2018 0:04,2.445718,47.13541,53.2118,46.39756775,636.4583,76.58897,13.35359,16.21094,15.69734
5,4/1/2018 0:05,2.453588,47.09201,53.1684,46.39756775,637.6157,78.18568,13.41146,16.16753,15.89265
6,4/1/2018 0:06,2.455556,47.04861,53.16839981,46.39756775,633.3333,75.81614,13.43316,16.13136,15.65393
7,4/1/2018 0:07,2.449653,47.13541,53.16839981,46.39756775,630.6713,75.77331,13.25231,16.12413,16.19647
8,4/1/2018 0:08,2.463426,47.09201,53.16839981,46.39756775,631.9444,74.58916,13.28848,16.13136,15.47309
9,4/1/2018 0:09,2.445718,47.17882,53.1684,46.39756775,641.7823,74.57428,13.38252,16.24711,15.61777
10,4/1/2018 0:10,2.46441,47.48264,53.125,46.39756775,637.7314,76.05148,13.41146,16.16753,15.65393
11,4/1/2018 0:11,2.444734,47.91666,53.1684,46.39756775,635.6482,74.58654,13.41146,16.16753,15.84925
12,4/1/2018 0:12,2.460474,48.26389,53.125,46.39756775,630.0926,76.95988,13.34635,16.16753,15.73351
13,4/1/2018 0:13,2.448669,48.4375,53.1684,46.39756775,638.6574,75.6731,13.31742,16.16753,15.84925
14,4/1/2018 0:14,2.453588,48.56771,53.1684,46.39756775,632.4074,80.65949,13.38976,16.13136,15.53096
15,4/1/2018 0:15,2.455556,48.3941,53.125,46.39757,642.3611,78.13193,13.35359,16.21094,15.45139
16,4/1/2018 0:16,2.449653,48.3941,53.1684,46.31076,630.2084,77.89381,13.30295,16.16753,15.89265
17,4/1/2018 0:17,2.463426,48.4809,53.68924,46.3107605,643.6343,77.30572,13.34635,16.16753,15.61777
18,4/1/2018 0:18,2.445718,48.61111,53.125,46.3107605,632.9861,76.66199,13.34635,16.21094,15.81308
19,4/1/2018 0:19,2.46441,48.61111,53.1684,46.3107605,644.3287,78.49116,13.34635,16.13136,15.70457
20,4/1/2018 0:20,2.445718,49.08854,53.03819,46.3107605,633.4491,76.95741,13.34635,16.16753,15.76968
21,4/1/2018 0:21,2.460474,49.21875,53.125,46.31076,626.2731,78.76208,13.34635,16.16753,15.45139
22,4/1/2018 0:22,2.448669,48.78472,53.125,46.26736,635.4166,76.26164,13.41146,16.21094,15.65393
23,4/1/2018 0:23,2.453588,49.08854,53.1684,46.26736069,635.4166,79.25443,13.34635,16.21094,15.81308
24,4/1/2018 0:24,2.453588,49.21875,53.03819,46.26736069,634.375,76.8876,13.31742,16.12413,15.77691
25,4/1/2018 0:25,2.449653,49.30555,53.1684,46.26736069,634.9537,75.76706,13.34635,16.1603,15.69734
26,4/1/2018 0:26,2.459491,49.08854,53.1684,46.26736069,632.4074,75.63688,13.28848,16.12413,15.76968
27,4/1/2018 0:27,2.448669,48.78472,53.125,46.26736069,639.2361,75.62278,13.49826,16.13136,15.69734
28,4/1/2018 0:28,2.46441,48.35069,53.1684,46.26736,641.3195,75.83797,13.41869,16.1603,15.65393
29,4/1/2018 0:29,2.444734,48.04688,53.125,46.22396,635.4166,73.64476,13.28848,16.21094,16.31944
30,4/1/2018 0:30,2.463426,47.91666,53.12499619,46.22395706,618.75,75.64877,13.23061,16.12413,15.76968
31,4/1/2018 0:31,2.448669,47.78646,53.125,46.22395706,650.463,74.983,13.23061,16.1603,15.84925
32,4/1/2018 0:32,2.453588,48.61111,53.03819,46.22395706,631.5972,73.89424,13.44763,16.16753,15.65393
33,4/1/2018 0:33,2.455556,48.4375,53.125,46.22395706,643.8657,71.37542,13.34635,16.16753,15.73351
34,4/1/2018 0:34,2.449653,49.08854,53.12499619,46.22395706,631.1342,72.02344,13.31742,16.13136,15.65393
35,4/1/2018 0:35,2.460474,48.78472,53.12499619,46.22395706,628.2407,72.02461,13.38252,16.13136,15.73351
36,4/1/2018 0:36,2.460474,48.78472,53.125,46.22396,628.2407,72.02461,13.38252,16.13136,15.73351
37,4/1/2018 0:37,2.46441,48.69791,53.03819,46.18055,632.9861,73.75979,13.34635,16.12413,15.82031
38,4/1/2018 0:38,2.448669,48.65451,53.125,46.18055344,633.2176,71.75475,13.28848,16.12413,15.76968
39,4/1/2018 0:39,2.459491,48.82813,53.12499619,46.18055344,632.1759,73.06738,13.43316,16.21094,15.73351
40,4/1/2018 0:40,2.449653,49.26215,53.12499619,46.18055344,637.963,71.20819,13.34635,16.13136,15.65393
41,4/1/2018 0:41,2.453588,49.26215,53.12499619,46.18055,637.963,73.73936,13.25231,16.16753,15.37182
42,4/1/2018 0:42,2.453588,49.04514,53.12499619,46.09375,640.5093,72.83128,13.32465,16.13136,15.76968
43,4/1/2018 0:43,2.448669,49.08854,53.12499619,46.09375,635.0695,73.57409,13.34635,16.0735,15.37182
44,4/1/2018 0:44,2.460474,48.87152,53.125,46.09375,633.7963,73.37788,13.31742,16.13136,15.65393
45,4/1/2018 0:45,2.448669,49.08854,53.03819,46.09375,638.7732,73.93829,13.38252,16.21094,15.65393
46,4/1/2018 0:46,2.466377,49.13194,53.125,46.09375,630.3241,74.724,13.28848,16.0735,15.82031
47,4/1/2018 0:47,2.446702,49.13194,53.03819,46.05035,635.9954,74.23515,13.25231,16.16753,15.49479
48,4/1/2018 0:48,2.460474,49.26215,53.125,46.05034637,628.2407,77.19415,13.28848,16.16753,15.69734
49,4/1/2018 0:49,2.445718,49.04514,53.12499619,46.05034637,623.3796,78.18562,13.38252,16.16753,15.37182
50,4/1/2018 0:50,2.456539,49.43576,53.12499619,46.05034637,630.4398,81.35645,13.31742,16.21094,15.73351
51,4/1/2018 0:51,2.453588,49.34896,53.12499619,46.05034637,627.3148,78.20947,13.31742,16.16753,15.53096
52,4/1/2018 0:52,2.45162,49.26215,53.12499619,46.05034637,641.8981,78.60271,13.41146,16.24711,15.98669
53,4/1/2018 0:53,2.459491,49.30555,53.125,46.05034637,622.1064,77.45465,13.41146,16.21094,15.69734
54,4/1/2018 0:54,2.448669,49.30555,53.03819,46.05035,633.449,77.40409,13.28848,16.12413,15.90712
55,4/1/2018 0:55,2.46441,49.26215,53.125,46.00694,625.8102,77.41991,13.32465,16.2037,15.69734
56,4/1/2018 0:56,2.445718,49.26215,53.125,46.00694275,632.4074,75.76465,13.56337,16.2037,15.65393
57,4/1/2018 0:57,2.460474,49.43576,53.1684,46.00694275,634.1464,77.28145,13.62847,16.21094,15.76968
58,4/1/2018 0:58,2.445718,49.21875,53.125,46.00694275,628.125,74.89201,13.53443,16.16753,15.56713
59,4/1/2018 0:59,2.456539,49.30555,53.1684,46.00694275,634.9537,76.20724,13.67911,16.16753,15.61777
60,4/1/2018 1:00,2.453588,49.08854,53.12499619,46.00694275,626.6204,73.981,13.49826,16.16753,15.65393
61,4/1/2018 1:01,2.453588,49.08854,53.12499619,46.00694275,626.6204,73.981,13.49826,16.16753,15.65393
62,4/1/2018 1:02,2.459491,49.04514,53.125,46.00694,626.6204,73.80122,13.5923,16.16753,15.69734
63,4/1/2018 1:03,2.445718,48.4809,53.03819,45.96354,635.5323,73.21678,13.5923,16.06626,15.81308
64,4/1/2018 1:04,2.46441,47.78646,53.125,45.96353912,644.4445,73.02496,13.56337,16.16753,15.89265
65,4/1/2018 1:05,2.445718,47.04861,53.12499619,45.96353912,637.3843,72.14364,13.64294,16.21094,15.94329
66,4/1/2018 1:06,2.463426,47.09201,53.12499619,45.96353912,644.6759,75.90372,13.74421,16.13136,15.41522
67,4/1/2018 1:07,2.448669,47.74305,53.125,45.96353912,632.2916,73.71216,13.5923,16.16753,15.69734
68,4/1/2018 1:08,2.455556,46.48438,53.1684,45.96353912,627.4305,73.3241,13.5923,16.16753,15.65393
69,4/1/2018 1:09,2.453588,47.52604,53.16839981,45.96353912,637.7314,71.07111,13.68634,16.1603,15.56713
70,4/1/2018 1:10,2.449653,48.04688,53.16839981,45.96353912,633.2176,72.02145,13.4838,16.24711,15.45139
71,4/1/2018 1:11,2.460474,48.26389,53.1684,45.96353912,633.912,71.67192,13.65017,16.0735,15.65393
72,4/1/2018 1:12,2.448669,48.4375,53.125,45.96353912,637.3843,70.85339,13.5923,16.0735,15.99392
73,4/1/2018 1:13,2.465394,47.78646,53.1684,45.96353912,635.5324,73.46938,13.62847,16.13136,15.76968
74,4/1/2018 1:14,2.445718,47.74305,53.1684,45.96353912,642.9398,70.75828,13.5923,16.13136,15.84925
75,4/1/2018 1:15,2.46441,47.69965,53.125,45.96354,640.2778,71.52058,13.64294,16.21094,15.81308
76,4/1/2018 1:16,2.445718,47.56944,53.12499619,45.87674,625.463,70.8231,13.5923,16.16753,15.49479
77,4/1/2018 1:17,2.456539,47.35243,53.125,45.87674,623.7268,73.3572,13.614,16.13136,15.56713
78,4/1/2018 1:18,2.449653,47.48264,53.1684,45.96354,627.5463,71.57556,13.5272,16.12413,15.65393
79,4/1/2018 1:19,2.449653,47.48264,53.1684,45.96353912,627.5463,71.57556,13.5272,16.12413,15.65393
80,4/1/2018 1:20,2.459491,47.30902,53.125,45.96354,642.2454,74.09569,13.614,16.12413,15.56713
81,4/1/2018 1:21,2.445718,47.26563,53.03819,45.87674,644.7916,75.33871,13.59954,16.13136,15.76968
82,4/1/2018 1:22,2.466377,47.26563,53.03819,45.96354,641.4352,76.76208,13.56337,16.12413,15.53096
83,4/1/2018 1:23,2.444734,47.56944,53.1684,45.96353912,639.2361,74.95129,13.65017,16.12413,16.23987
84,4/1/2018 1:24,2.468345,47.26563,53.125,45.96353912,628.125,77.42485,13.62847,16.2037,15.49479
85,4/1/2018 1:25,2.441782,47.56944,53.12499619,45.96353912,633.5648,76.94546,13.59954,16.1603,15.53096
86,4/1/2018 1:26,2.460474,47.35243,53.12499619,45.96353912,632.0602,80.66912,13.614,16.16753,15.69734
87,4/1/2018 1:27,2.450637,47.30902,53.125,45.96353912,641.6666,77.93872,13.55613,16.16753,15.61777
88,4/1/2018 1:28,2.45162,47.30902,53.03819,45.96353912,645.3704,79.64193,13.59954,16.16753,15.95052
89,4/1/2018 1:29,2.459491,47.35243,53.03819,45.96353912,633.2175,77.65131,13.49826,16.16753,15.81308
90,4/1/2018 1:30,2.445718,47.26563,53.125,45.96353912,624.3055,77.7133,13.614,16.13136,15.84925
91,4/1/2018 1:31,2.466377,47.26563,53.03819,45.96353912,634.1435,76.95788,13.5923,16.16753,15.45139
92,4/1/2018 1:32,2.444734,47.48264,53.1684,45.96353912,631.9445,76.41271,13.71528,16.16753,15.89265
93,4/1/2018 1:33,2.466377,47.69965,53.125,45.96353912,634.2593,78.53719,13.5923,16.16753,15.81308
94,4/1/2018 1:34,2.445718,47.78646,53.1684,45.96353912,629.9768,76.4585,13.68634,16.13136,15.89265
95,4/1/2018 1:35,2.459491,47.91666,53.16839981,45.96353912,635.5324,77.98872,13.5272,16.16753,15.85648
96,4/1/2018 1:36,2.459491,47.91666,53.1684,45.96353912,635.5324,77.98872,13.5272,16.16753,15.85648
97,4/1/2018 1:37,2.45162,48.17708,53.125,45.96354,639.4676,74.36434,13.56337,16.1603,15.77691
98,4/1/2018 1:38,2.459491,48.17708,53.1684,45.96353912,632.1759,73.06995,13.5923,16.16753,15.98669
99,4/1/2018 1:39,2.445718,48.35069,53.125,45.96353912,623.4954,73.35966,13.5272,16.21094,15.73351
100,4/1/2018 1:40,2.46441,48.26389,53.12499619,45.96353912,637.7314,73.44002,13.614,16.16753,15.45139
101,4/1/2018 1:41,2.444734,48.35069,53.12499619,45.96353912,634.7222,72.79972,13.5272,16.12413,15.69734
102,4/1/2018 1:42,2.465394,48.4375,53.125,45.96353912,634.7222,73.23296,13.5923,16.1603,15.61777
103,4/1/2018 1:43,2.444734,48.35069,53.03819,45.96353912,625.463,71.66517,13.53443,16.06626,15.61777
104,4/1/2018 1:44,2.456539,48.3941,53.125,45.96353912,627.7778,75.47958,13.64294,16.1603,15.69734
105,4/1/2018 1:45,2.448669,48.4375,53.03819,45.96354,639.3518,72.8404,13.5923,16.21094,15.76968
106,4/1/2018 1:46,2.45162,48.61111,53.125,45.87674,621.2963,74.1301,13.5923,16.16753,15.69734
107,4/1/2018 1:47,2.459491,48.78472,53.12499619,45.87673569,630.0926,71.24863,13.53443,16.16753,15.69734
108,4/1/2018 1:48,2.448669,48.82813,53.125,45.87673569,624.537,71.87115,13.65017,16.1603,15.76968
109,4/1/2018 1:49,2.465394,48.91493,53.03819,45.87673569,645.8333,72.69482,13.59954,16.16753,15.56713
110,4/1/2018 1:50,2.448669,48.82813,53.03819275,45.87673569,634.9537,74.62409,13.68634,16.16753,15.73351
111,4/1/2018 1:51,2.468345,48.82813,53.03819275,45.87674,641.4352,76.61227,13.53443,16.16753,15.73351
112,4/1/2018 1:52,2.440799,48.78472,53.03819275,45.83333,638.1945,76.00725,13.62847,16.16753,15.76968
113,4/1/2018 1:53,2.463426,48.69791,53.03819275,45.83333206,633.5648,79.14875,13.59954,16.16753,15.84925
114,4/1/2018 1:54,2.445718,48.65451,53.03819275,45.83333206,632.9861,75.18528,13.64294,16.13136,15.73351
115,4/1/2018 1:55,2.453588,48.4375,53.03819275,45.83333206,648.2639,77.09318,13.56337,16.16753,15.41522
116,4/1/2018 1:56,2.455556,48.69791,53.03819275,45.83333206,631.0186,73.71715,13.49826,16.21094,15.65393
117,4/1/2018 1:57,2.444734,48.65451,53.03819275,45.83333206,628.588,74.91669,13.64294,16.21094,15.53096
118,4/1/2018 1:58,2.466377,48.4809,53.03819,45.83333206,635.3009,75.26166,13.56337,16.16753,15.85648
119,4/1/2018 1:59,2.444734,48.65451,52.99479,45.83333206,638.8889,75.92812,13.62847,16.12413,15.69734
120,4/1/2018 2:00,2.441782,48.78472,52.99479,45.83333206,629.9768,73.51723,13.68634,16.16753,15.52373
121,4/1/2018 2:01,2.441782,48.78472,52.99479,45.83333206,629.9768,73.51723,13.68634,16.16753,15.52373
122,4/1/2018 2:02,2.463426,48.61111,53.125,45.83333206,636.4584,75.85675,13.55613,16.2037,15.65393
123,4/1/2018 2:03,2.446702,48.65451,53.03819,45.83333,633.2176,72.81007,13.65017,16.16753,15.65393
124,4/1/2018 2:04,2.453588,48.69791,53.03819275,45.78993,629.2823,75.74284,13.53443,16.13136,15.73351
125,4/1/2018 2:05,2.459491,48.78472,53.03819275,45.78992844,629.6296,76.11089,13.59954,16.1603,15.76968
126,4/1/2018 2:06,2.445718,48.78472,53.03819275,45.78992844,631.7129,77.82539,13.68634,16.12413,15.65393
127,4/1/2018 2:07,2.445718,48.78472,53.03819,45.78992844,631.7129,77.82539,13.68634,16.12413,15.65393
128,4/1/2018 2:08,2.444734,48.91493,52.99479,45.78992844,642.7083,74.54076,13.614,16.21094,15.45139
129,4/1/2018 2:09,2.466377,49.00174,52.99478912,45.78992844,624.8843,75.71705,13.67911,16.16753,15.61777
130,4/1/2018 2:10,2.444734,48.91493,52.99479,45.78992844,632.2916,73.969,13.55613,16.16753,15.65393
131,4/1/2018 2:11,2.461458,48.91493,53.03819,45.78992844,637.1528,77.69456,13.64294,16.16753,15.69734
132,4/1/2018 2:12,2.445718,48.87152,53.03819,45.78992844,638.6573,76.48597,13.53443,16.16753,15.70457
133,4/1/2018 2:13,2.453588,48.82813,53.125,45.78992844,637.037,79.12985,13.67911,16.24711,15.73351
134,4/1/2018 2:14,2.455556,48.87152,53.03819,45.78992844,644.7916,77.27492,13.5923,16.13136,15.53096
135,4/1/2018 2:15,2.448669,48.87152,52.99479,45.78992844,641.2037,78.01218,13.67911,16.16753,15.58883
136,4/1/2018 2:16,2.46441,49.00174,53.03819,45.78992844,631.5972,75.93819,13.49826,16.13136,15.56713
137,4/1/2018 2:17,2.444734,49.08854,52.99479,45.78992844,634.2593,74.73568,13.64294,16.13136,15.61777
138,4/1/2018 2:18,2.466377,49.13194,52.99478912,45.78993,637.2686,76.46278,13.53443,16.16753,15.56713
139,4/1/2018 2:19,2.44375,49.08854,52.99478912,45.74652,622.4537,74.2026,13.65017,16.16753,15.85648
140,4/1/2018 2:20,2.46441,49.13194,52.99478912,45.74652481,633.3333,76.11657,13.55613,16.21094,15.69734
141,4/1/2018 2:21,2.46441,49.13194,52.99479,45.74652481,633.3333,76.11657,13.55613,16.21094,15.69734
142,4/1/2018 2:22,2.456539,49.21875,53.03819,45.74652481,631.25,74.56232,13.64294,16.13136,15.65393
143,4/1/2018 2:23,2.453588,49.26215,52.99479,45.74652481,622.6852,72.7142,13.56337,16.16753,15.56713
144,4/1/2018 2:24,2.446702,49.34896,53.03819,45.74652,635.1852,75.13245,13.55613,16.12413,15.56713
145,4/1/2018 2:25,2.463426,49.34896,52.95139,45.65972,629.9768,74.8661,13.55613,16.21094,15.94329
146,4/1/2018 2:26,2.445718,49.34896,52.99478912,45.65972137,633.449,73.9398,13.49826,16.21094,15.56713
147,4/1/2018 2:27,2.466377,49.30555,53.03819,45.65972137,632.6389,74.93073,13.53443,16.12413,15.69734
148,4/1/2018 2:28,2.444734,49.43576,52.99479,45.65972,636.8055,73.9752,13.67911,16.12413,15.76968
149,4/1/2018 2:29,2.46441,49.43576,53.03819,45.61632,644.5602,74.73405,13.56337,16.12413,15.65393
150,4/1/2018 2:30,2.444734,49.43576,52.99479,45.61631775,635.9954,71.54809,13.59954,16.12413,15.84925
151,4/1/2018 2:31,2.456539,49.52257,53.03819,45.61632,634.9537,74.52608,13.53443,16.21094,15.65393
152,4/1/2018 2:32,2.45162,49.56597,52.99479,45.57291,626.5046,72.13644,13.56337,16.16753,15.45139
153,4/1/2018 2:33,2.448669,49.47916,53.03819,45.57291412,640.0463,73.56847,13.56337,16.16753,15.49479
154,4/1/2018 2:34,2.463426,49.52257,53.03819,45.57291,633.4491,72.25764,13.5923,16.16753,15.76968
155,4/1/2018 2:35,2.444734,49.47916,52.99479,45.52951,629.2823,72.4698,13.5055,16.13136,15.56713
156,4/1/2018 2:36,2.466377,49.47916,52.99479,45.5295105,633.6805,74.45985,13.62847,16.24711,15.69734
157,4/1/2018 2:37,2.441782,49.47916,53.42882,45.5295105,654.7454,72.75973,13.5923,16.13136,16.02286
158,4/1/2018 2:38,2.468345,49.52257,52.99479,45.52951,630.0926,74.44075,13.614,16.16753,15.61777
159,4/1/2018 2:39,2.444734,49.52257,52.99478912,45.44271,627.7778,71.02007,13.5923,16.13136,15.53096
160,4/1/2018 2:40,2.456539,49.52257,52.99478912,45.44270706,628.9352,73.89785,13.70804,16.0735,15.65393
161,4/1/2018 2:41,2.455556,49.56597,52.99478912,45.44271,632.6389,72.45992,13.55613,16.13136,15.53096
162,4/1/2018 2:42,2.445718,49.43576,52.99478912,45.3993,640.5093,72.8025,13.62847,16.16753,15.65393
163,4/1/2018 2:43,2.463426,49.26215,52.99479,45.39930344,638.5416,72.62173,13.49826,16.16753,15.76968
164,4/1/2018 2:44,2.445718,48.82813,52.95139,45.39930344,628.4722,74.77283,13.59954,16.16753,15.69734
165,4/1/2018 2:45,2.468345,48.26389,53.03819,45.3993,650.463,78.54942,13.56337,16.21094,15.56713
166,4/1/2018 2:46,2.444734,47.69965,52.99478912,45.3559,632.5231,76.74533,13.65017,16.16753,15.56713
167,4/1/2018 2:47,2.46441,47.48264,52.95139,45.35589981,631.1343,78.87323,13.5923,16.16753,15.90712
168,4/1/2018 2:48,2.444734,47.82986,52.99479,45.35589981,645.7175,75.54395,13.73698,16.21094,15.89265
169,4/1/2018 2:49,2.456539,48.3941,52.99478912,45.35589981,635.4166,77.6568,13.55613,16.16753,15.69734
170,4/1/2018 2:50,2.45162,48.69791,52.99478912,45.35589981,636.574,74.88043,13.59954,16.2037,15.53096
171,4/1/2018 2:51,2.449653,48.78472,52.99479,45.35589981,637.963,77.64742,13.5272,16.1603,15.89265
172,4/1/2018 2:52,2.463426,48.87152,52.90799,45.3559,627.1991,76.49275,13.5923,16.12413,15.73351
173,4/1/2018 2:53,2.445718,48.91493,53.03819,45.3125,627.1991,74.90475,13.55613,16.03009,15.49479
174,4/1/2018 2:54,2.466377,48.61111,52.95139,45.3125,639.2361,75.64612,13.67911,16.16753,15.85648
175,4/1/2018 2:55,2.444734,48.56771,52.95139,45.3125,646.6436,73.52946,13.614,16.21094,15.98669
176,4/1/2018 2:56,2.46441,48.87152,52.90799,45.3125,628.8195,76.34963,13.49826,16.16753,15.76968
177,4/1/2018 2:57,2.445718,48.87152,52.95139,45.3125,633.1019,75.21585,13.55613,16.13136,15.49479
178,4/1/2018 2:58,2.445718,48.87152,52.9513855,45.3125,633.1019,75.21585,13.55613,16.13136,15.49479
179,4/1/2018 2:59,2.454572,48.87152,52.95139,45.3125,635.4166,73.56252,13.65017,16.13136,15.65393
180,4/1/2018 3:00,2.463426,49.13194,52.95139,45.3125,634.375,70.08943,13.59954,16.21094,15.69734
181,4/1/2018 3:01,2.463426,49.13194,52.95139,45.3125,634.375,70.08943,13.59954,16.21094,15.69734
182,4/1/2018 3:02,2.444734,49.08854,52.95139,45.3125,630.2083,70.09843,13.59954,16.13136,15.69734
183,4/1/2018 3:03,2.468345,49.00174,52.99479,45.22569,625.463,71.61539,13.62847,16.13136,15.65393
184,4/1/2018 3:04,2.444734,49.00174,52.99479,45.22569275,624.1898,70.83315,13.55613,16.13136,15.61777
185,4/1/2018 3:05,2.466377,49.08854,53.55902,45.22569275,630.3241,72.34706,13.59954,16.16753,15.49479
186,4/1/2018 3:06,2.448669,48.91493,52.95139,45.22569275,626.7361,70.69199,13.67911,16.16753,15.73351
187,4/1/2018 3:07,2.459491,48.65451,52.95139,45.22569275,632.0602,73.69479,13.55613,16.13136,15.73351
188,4/1/2018 3:08,2.45162,48.3941,52.95139,45.22569275,641.2037,70.98134,13.62847,16.13136,15.49479
189,4/1/2018 3:09,2.448669,48.26389,52.95139,45.22569275,638.8889,74.23759,13.65017,16.16753,16.05903
190,4/1/2018 3:10,2.463426,48.56771,52.95139,45.22569275,632.6389,73.92552,13.5923,16.13136,15.99392
191,4/1/2018 3:11,2.444734,48.78472,52.99479,45.22569275,629.9768,72.61125,13.59954,16.16753,15.81308
192,4/1/2018 3:12,2.468345,48.91493,52.95139,45.22569275,630.9028,72.8418,13.5923,16.16753,15.73351
193,4/1/2018 3:13,2.441782,48.87152,52.95139,45.22569275,630.4398,70.34162,13.55613,16.21094,15.53096
194,4/1/2018 3:14,2.46441,48.91493,52.99479,45.22569275,637.8472,74.05305,13.65017,16.13136,15.56713
195,4/1/2018 3:15,2.444734,48.87152,52.90799,45.22569275,626.2731,72.07859,13.62847,16.16753,15.61777
196,4/1/2018 3:16,2.456539,48.91493,52.95139,45.22569275,626.5046,74.50932,13.5272,16.06626,15.84925
197,4/1/2018 3:17,2.45162,48.82813,52.99479,45.22569275,635.4166,73.29948,13.67911,16.1603,15.76968
198,4/1/2018 3:18,2.449653,48.82813,53.47222,45.22569,640.5093,74.58383,13.49826,16.2037,15.65393
199,4/1/2018 3:19,2.460474,49.00174,52.90799,45.22569275,625.2314,77.22814,13.614,16.23987,15.69734
